artist,count,median peak,mean total weeks,sentiment
Glee Cast,206,61,0.402912621,0.500
Drake,187,42,11.04761905,0.571
Lil Wayne,141,41.5,10.65277778,0.714
Nicki Minaj,96,38,12.42424242,0.600
Chris Brown,81,43,15.08433735,0.667
Taylor Swift,75,18.5,12.97368421,0.650
Future,71,55,9.930555556,0.500
Justin Bieber,69,34,9.185714286,0.583
Kanye West,68,36,10,0.800
Rihanna,52,14,21.07407407,0.591
Eminem,52,26,6.269230769,0.750
The Weeknd,51,48,9.882352941,0.833
Kendrick Lamar,45,36,10.36956522,0.800
Beyonce,43,37,12.86046512,0.714
Big Sean,40,66.5,10.61904762,0.500
Rick Ross,39,58,11.30952381,1.000
J. Cole,39,30,7.41025641,0.250
T-Pain,37,38.5,13.81578947,0.750
Pitbull,37,30,16.68421053,0.625
Travis Scott,36,42,6.447368421,0.750
Mean,,52,11.99,0.604
